scene	summary
s01e03_scene008_1102_1122	"Penny is still getting over her break-up with Kurt. She would like to have rebound sex with Doug. Leonard is not fond of the idea.
"
s01e13_scene000_0022_0042	"Leonard, Howard and Raj discuss Star Trek and Spock. Leonard explains that Spock's mother was human and his father was Vulcan, but they couldn't conceive, so they went to a clinic.
"
s01e04_scene008_0715_0735	"Sheldon went to the market with Penny three weeks ago. Penny is going to get crabby in the next four to eight days. Sheldon doesn't need someone telling on him to his mother.
"
s01e07_scene002_0742_0762	"Sheldon, Howard and Penny are running a B & B. Christy will stay with Howard, Penny will go back to her apartment and Leonard will watch the last 24 minutes of Doctor Who.
"
s01e09_scene002_0451_0471	"Leonard is going to put the pants on. He will be back in a moment. Penny will not look. Leonard and Sheldon are not going to compromise on the presentation.
"
s01e03_scene005_0716_0724	"Leonard wants to ask her out, but Sheldon doesn't want to as they're getting a cat and they're going to get a cat too.
"
s01e07_scene001_0183_0203	"Christy let Howard into Penny's apartment. Leonard and Penny will play one-on-one with Howard until he gets back. Sheldon and Leonard don't play teams.
"
s01e05_scene002_0429_0449	"Leonard and Lesley are going to finish the section first and then start the next one. They will play some music together as a musical foreplay.
"
s01e03_scene002_0422_0442	"Lesley proposed the experiment. There was a good kiss, reasonable technique and no extraneous spittle. On the other hand, there was no arousal. Lesley will present her findings first.
"
s01e15_scene008_1109_1129	"Raj's medication is wearing off and he's feeling unwell. Penny sends him a message about it to his wife, Raj's wife, Penny.
"
s01e12_scene009_0817_0837	"Gablehouser, Howard and Leonard are at a meeting. It's Take Your Daughter to Work Day. There was an official e-mail sent to everyone whose files indicated they had daughters between the ages of 14 and 16.
"
s01e05_scene000_0162_0182	"Leonard was named Leonard because his parents didn't want him to be put in advanced-placement classes. Howard is a beatbox. Penny is not into music.
"
s01e14_scene005_0699_0719	"Leonard's premise is flawed. In the original film, Rod Taylor got Yvette Mimieux with the time machine. In Back to the Future, Marty McFly got to hook up with his attractive young mother.
"
s01e14_scene007_0970_0990	"Penny and Sheldon are arguing about Sheldon's toy collection. Howard is trying to calm them down, but Sheldon doesn't want to listen to him.
"
s01e07_scene002_0682_0702	"Howard used Penny's loofah and exfoliated her brains out. Penny wants Howard to keep his stuffed-bear collection, but Howard wants to keep hers.
"
s01e17_scene007_1062_1082	"Penny invites Leonard to come in, but they need to talk first. Leonard made an 8 and sends it to Penny. They will talk later.
"
s01e06_scene000_0129_0145	"Sheldon wants Penny to send him comic books, anime, TV, film, D&D, manga, Greek, Roman, Norse gods, and any costume he wants.
"
s01e11_scene002_0348_0368	"Leonard will come in on Sunday. Sheldon is sick and has been producing sputum at an alarming rate since 2 a.m. Sheldon will see a doctor.
"
s01e07_scene000_0122_0142	"Leonard doesn't like Christy, but Penny lets her stay because she's family. Christy was engaged to Penny's cousin while sleeping with her brother. Sheldon apologizes for his earlier outburst.
"
s01e03_scene008_1022_1042	"Leonard and Penny both have people in their lives who want to nip intestinal polyps in the bud, so there's nothing new in the world of physics.
"
s01e06_scene003_0395_0415	"Penny and Sheldon are going to watch a costume parade. There will be prizes for the best costume, most frightening, most authentic and most accurate visualization of a scientific principle.
"
s01e07_scene000_0102_0122	"Penny and Howard don't like Christy. Christy is talking about every guy she slept with in Omaha and washing her thong collection in Penny's bathroom sink.
"
s01e06_scene003_0615_0635	"Leonard and Sheldon are going for a flight. Sheldon doesn't want to go with him, because he's afraid he'll embarrass Leonard. Sheldon is more suited to being the FAA analyst.
"
s01e11_scene006_0799_0819	"Penny will give Sheldon an enema. Sheldon's mom used to give him sponge baths, so Penny will take care of him like she used to.
"
s01e03_scene002_0342_0362	"Leonard has done a modification of minestrone for Lesley. He was going to characterize it as a modification with a neurochemical overlay, but he was thinking more of a biosocial exploration.
"
s01e12_scene000_0026_0046	"Sheldon would never use a transporter. The original Sheldon would have to be disintegrated in order to create a new Sheldon. The new Sheldon wouldn't be an improvement on the old Sheldon.
"
s01e06_scene004_1177_1182	(KNOCKING)
s01e10_scene005_0601_0621	"Penny is on her way to perform in a one-night showcase production of Rent. Leonard has a symposium to go to. Penny and Howard will stand by Leonard.
"
s01e14_scene004_0510_0530	"Penny was invited to lunch by an Armenian family. She ate eight courses of lamb and they tried to fix her up with their son. By the time she got to work, they had given her shift away. Penny lost an entire day's pay.
"
s01e17_scene000_0043_0063	"The Szechuan Palace has been passing off orange chicken as tangerine chicken and Sheldon is going to confront them about it. Leonard would be more concerned about what they're passing off as chicken.
"
s01e09_scene003_0551_0571	"Penny got the latest copy of Applied Particle Physics Quarterly in her mailbox. Sheldon's mailbox didn't come to him, which is weird, because his came to him.
"
s01e03_scene008_1062_1082	"Leonard wants to know what's new at the Cheesecake Factory. Penny informs him that there's a chocolate key lime and a hallway friend, but there's nothing else new.
"
s01e13_scene005_0697_0717	"Leonard, Howard, Raj, Penny and Sheldon are going to play a game. Sheldon doesn't need a team, he could easily defeat them single-handedly, but the rules require four.
"
s01e15_scene008_1049_1069	"Leonard and Penny didn't anticipate something. Howard has come to call on Missy. Penny and Howard will meet with Missy later on.
"
s01e16_scene010_1052_1072	"Raj is at Leonard's birthday party. Everybody left an hour ago. Raj is on the phone with Leonard, telling him about a surprise.
"
s01e02_scene009_1098_1118	"Leonard shares with Penny another example from the field of Ebola research. Penny hugs him and sends him a link to another example. They are okay.
"
s01e08_scene004_1132_1141	"Leonard and Sheldon wonder who's going to tell his parents that they're not having grandchildren. Sheldon already has a dentist, so he doesn't have to tell them.
"
s01e02_scene002_0439_0459	"Leonard doesn't want to go to Sheldon's home. Sheldon is straightening up. When the transvestite lived here, Sheldon didn't care how he kept the place.
"
s01e11_scene006_0759_0779	"Sheldon had an internal blitzkrieg. Sheldon's mom had to fly back to Texas to help his dad, because the house had slipped off the cinder blocks again.
"
s01e02_scene002_0399_0419	"Leonard and Sheldon are arguing about the correct classification of things in the house. Sheldon has a compulsive need to sort and label the entire world around him.
"
s01e16_scene002_0370_0390	"Raj got him a limited-edition Dark Knight sculpture and an autographed copy of The Feynman Lectures on Physics. Penny got a sweater for his birthday.
"
s01e14_scene007_0890_0910	"Leonard is selling the Golden Age Flash to Larry at the comic-book store. Howard needs it to complete his Justice Society of America collection. Raj called dibs on it.
"
s01e05_scene000_0142_0162	"Lesley and Leonard will rehearse on Tuesdays at Leonard's place as their regular space is too hot. Leonard plays the cello. Leonard's name is Leonard.
"
s01e06_scene002_0241_0261	"Raj is late, because his hammer got stuck in the door on the bus. He is dressed as Thor. Leonard is angry, because Raj is an Indian god.
"
s01e06_scene002_0341_0345	...a potential close friend and perhaps more. I don't wanna look like a dork.
s01e03_scene009_1262_1278	...she knows she's been dated. Capital D. Heh. Bold face, underlined, like, dated. I think I might have a concussion. I'm gonna go lay down. Good night.
s01e03_scene003_0500_0520	"The Internet has been down for half an hour. Sheldon has never harmed a human being, except in cases where a human person's life would have been endangered.
"
s01e17_scene002_0324_0344	"Penny is an affectionate woman who likes to express her affection in nontraditional places such as elevators, parks, movie theaters and even in elevators.
"
s01e02_scene002_0379_0399	"Leonard is a little messy. Sheldon has hurt his fingers. The Mandelbrot set of complex numbers is a bit messy, too, because of Penny.
"
s01e02_scene008_0981_1001	"Leonard got served. Sheldon's imaginary girlfriend broke up with him. Howard has been there. Raj will grab a napkin and get served by Howard.
"
s01e02_scene009_1078_1098	...so too I regret my participation in what was... ...at the very least, an error in judgment. The hallmark of the great human experiment... ...is the willingness to recognize one's mistakes. Madam Curie's discovery of radium turned out to have great potential... ...even though she would later die a slow, painful death from radiation poisoning.
s01e08_scene003_0806_0826	"Howard tried to watch ""The Monkey and The Princess"" online but they wanted his credit card. It's a children's story about an Indian princess who befriends a monkey. Sheldon's mother used to read it to him when he was sick.
"
s01e06_scene000_0049_0069	"Sheldon and Leonard were playing paintball. Sheldon was giving clear, concise orders. Penny hid behind a tree. She will clear a space on her calendar for an inquiry.
"
s01e10_scene001_0253_0273	"Leonard woke Sheldon up in the middle of a REM cycle. Sheldon doesn't want to talk to Leonard, so they will wait until the morning to talk.
"
s01e02_scene001_0328_0348	"Leonard will help Sheldon pull and turn at the corner, because gravity is a heatless bitch. Sheldon needs Leonard's formula for the corner.
"
s01e17_scene002_0404_0424	"Penny is going to Mike's. Leonard helped her to see it on her own and she's going to see him there. She's very grateful for that.
"
s01e11_scene008_0948_0968	"Sheldon wants Penny to sing 'Soft Kitty' to him. Penny doesn't know it, but Sheldon will teach her. She will sing it to her.
"
s01e09_scene001_0266_0286	"Sheldon and Howard were at the Topical Conference on Bose-Einstein Condensates parties. Leonard got a Nobel Prize and he doesn't know about other honors.
"
s01e16_scene002_0390_0410	"Penny didn't see Sheldon's present, because he didn't bring one. Sheldon doesn't like the idea of gift-giving. Sheldon would rather give $50 directly to Penny.
"
s01e15_scene008_1089_1109	"Howard has sent Missy a label but she hasn't received it yet. She will do it later on. (HUMMING).
"
s01e15_scene006_0873_0893	"Missy has lived her whole life dealing with the fact that her twin brother is Sheldon's twin brother. Sheldon always thought he was more like a cuckoo bird than a bird.
"
s01e05_scene000_0102_0122	"Lesley yelled at Sheldon and Leonard for eating at Big Boy. Sheldon will have the barbeque burger. Penny will have two burgers. Penny lives across the hall from Leonard and Sheldon.
"
s01e04_scene003_0316_0321	"Penny and Sheldon are going to meet. Sheldon will go with them. He will join them, too. He is excited... .
"
s01e06_scene003_0655_0675	"Sheldon and Girl in Butterfly Costume are drunk. They are watching 'MAMA'S ROOM' by GIANTS on SterEO.
"
s01e10_scene004_0550_0570	"Leonard will lie about going to a symposium in Pasadena and go to a drug intervention in Long Beach. Penny will operate as if the original lie is still in force.
"
s01e09_scene000_0102_0122	"Someone in Sichuan Province, China is using his computer to turn the lights on and off in Penny's and Leonard's house. Penny will see Leonard soon.
"
s01e03_scene001_0228_0248	"Leonard didn't like the look of the guy she was with. He was kind of dreamy. Sheldon and Howard think he looks better than him.
"
s01e13_scene002_0332_0352	"Leonard and Sheldon will take a break from the game. Sheldon needs his wrist brace as he's aggravating his old Nintendo injury. Penny will give the correct answers.
"
s01e14_scene008_1071_1091	It worked. It really worked. They said I was mad, but it worked. Oh, no, not Morlocks. Not flesh-eating Morlocks.
s01e05_scene003_0490_0510	"Sheldon wants Penny to come with him to college. Sheldon was 11 when he first loved a woman. Penny doesn't know what a tie on the doorknob means.
"
s01e02_scene001_0248_0268	"Leonard and Sheldon are going to bring the elevator to her apartment. They don't have a dolly, lifting belts, or any measurable upper-body strength.
"
s01e09_scene005_0827_0835	"Howard, Leonard, Penny and Penny are going to meet. Penny should have brought her own car, but she didn't. She should've brought a suit.
"
s01e17_scene005_0803_0823	"Penny's last relationship with Koothrappali worked out well for him, he got a free iPod. Leonard might be different in a good way, he's the kind that gets into a relationship for a light-years. Penny's usual choices have not worked out so well.
"
s01e06_scene003_0875_0895	"Leonard is a hobbit, a Homo habilis discovering he has opposable thumbs. Kurt is mad at him for making him feel that way.
"
s01e08_scene002_0655_0675	"Raj needs to have a Lalita before his date with the Grasshopper. Penny doesn't want him to drink on the date, but he has to promise not to overdo it.
"
s01e15_scene006_0813_0833	"Sheldon wants to sleep with Missy because she has a superior genetic mutation and she has great potential. Missy doesn't understand why Sheldon is pimping her out for cheese.
"
s01e17_scene002_0424_0429	Huh. Maybe I am her gay friend.
s01e11_scene002_0308_0328	Sheldon (entering, wrapped in duvet)Leonard. Leonard. Leonard. Leonard, my comforter fell down and my sinuses hurt when I bend over. Leonard?
s01e12_scene009_0977_0997	"Gablehouser, Sheldon, Leonard, Raj and Raj are going to welcome Dennis Kim to their little family. Dennis Kim was the valedictorian at Stanford University.
"
s01e07_scene005_1115_1135	"Leonard and Sheldon are arguing about sex and 'Halo 3'. Sheldon is going to ask Howard to choose between ""Halo"" and ""Sex"".
"
s01e12_scene002_0299_0319	"Sheldon went from being Wolfgang Amadeus Mozart to Antonio Salieri today. Howard and Leonard advise him to eat and not insult his friends. Sheldon doesn't agree.
"
s01e11_scene008_0968_0988	"Sheldon wants to talk to his cat, but there is no one to hear him. He wants to sing to him. Sheldon is singing to her instead.
"
s01e04_scene009_0914_0934	Mrs And we pray that you help Sheldon get back on his rocker. Now, after a moment of silent meditation, I'm gonna end with 'in Jesus' name'... ...but you two don't feel any obligation to join in. Unless, of course, the Holy Spirit moves you.
s01e07_scene004_0998_1018	"Leonard and Sheldon are asking Penny to be the fourth member of their 'Halo' team. Penny will join them. Sheldon is very happy about it.
"
s01e11_scene009_1057_1077	"Leonard will have seven seconds to get out of Sheldon's apartment. He will have to get on his hands and knees to get to the sensor close to Sheldon's room.
"
s01e09_scene002_0531_0545	"Leonard has been wearing the same clothes since the eighth grade. Penny wants him to put down the corduroy suit and wear something else. He refuses.
"
s01e12_scene009_0937_0957	"Leonard, Raj and Howard are looking for a girl to talk to. Leonard will talk to her. Raj will talk with her. Howard will talk about the kid.
"
s01e13_scene002_0312_0332	"Penny sends a message to Sheldon that it's Gravity Probe B. Sheldon doesn't want to answer because it's polite, but he has to let somebody else answer.
"
s01e12_scene010_1093_1113	"Howard got a ticket for launching a rocket in the park. He got it because he told the policewoman he had another rocket in his pants. He didn't recognize Dennis Kim.
"
s01e06_scene003_0535_0555	"Howard explains to Leonard and Raj how to pick up girls on VH1's ""How to Pick up Girls"". Raj has a problem speaking to women, because he lacks confidence.
"
s01e10_scene000_0102_0122	"Penny auditioned for Rent but she didn't get it and she couldn't figure out why. Sheldon has a conclusion based on an observation and experimentation.
"
s01e04_scene010_1028_1048	"Mrs Cooper wants Sheldon to apologize to his boss and get his job back. Sheldon is not going to do it. Mrs Cooper has been telling Sheldon since he was 4 that it's okay to be smarter than everybody, but you can't point it out.
"
s01e08_scene000_0170_0190	"Mrs Koothrappali has to go, because Doogie Howser is on. Raj and Howard don't believe it, because the show has been off the air for 20 years.
"
s01e15_scene001_0236_0256	"Shelly doesn't like company. Even as a little boy, he would send his imaginary friends home at the end of the day. Sheldon doesn't issue invitations to Missy's mother, but she's family.
"
s01e02_scene010_1208_1228	"Penny will take off all her clothes. Leonard and Sheldon will go to the junkyard and pick up 6 square meters of aluminum. Raj and Leonard will get the oxyacetylene torch.
"
s01e03_scene005_0656_0676	"Leonard has a genetically altered cat, Penny, but he doesn't want to have a relationship with her as the woman rejected him. Sheldon is trying to convince him to do so.
"
s01e14_scene003_0227_0247	"No one is pushing Leonard, Howard, Raj and Penny to hurry up. Raj has a job for the middle one. Penny is coming out of her apartment. Leonard and Sheldon are trying to time travel.
"
s01e14_scene005_0639_0659	"Leonard wants to knock Sheldon unconscious. Sheldon is upset about the past, but he doesn't want to change the present. Leonard's first clue was the late hour and the late night.
"
s01e12_scene009_1057_1077	"Sheldon assures Gablehouser that his research will go on uninterrupted. Howard, Leonard and Raj are surprised that he got a girl on his own. Smart is the new sexy.
"
s01e09_scene000_0062_0082	"Leonard and Sheldon turned the stereo down with their laptop. Penny turned it down with her laptop. San Francisco, Lisbon, Halifax and Halifax are the cities they visited.
"
s01e07_scene004_1058_1078	"Leonard and Sheldon are in a Chinese restaurant and they can't dance with her and her girlfriend, so they have to cut a dumpling in thirds to dance.
"
s01e15_scene000_0082_0102	"Howard was late for a meeting with Sheldon, Leonard and Rajesh. Sheldon is going to introduce them to Missy, who has already met Howard. She will introduce him.
"
s01e02_scene008_1001_1021	"Rajesh Koothrappali was in the hallway chatting with Penny. Penny was upset at first, probably because her sister shot somebody. Penny is still mad at Leonard.
"
s01e06_scene003_0455_0475	"Penny is going to take a shower. Leonard and Sheldon will make themselves comfortable and make themselves at home. Sheldon and Penny will watch a movie.
"
s01e12_scene008_0738_0758	"Sheldon wants to solve the Middle East crisis by building an exact replica of Jerusalem in the middle of the Mexican desert. The Jewish people will come to see it.
"
s01e16_scene000_0107_0127	"Leonard is an experimental physicist. He loves birthdays. He enjoyed waking up to Mom's special French-toast breakfast, playing laser tag with his friends and wearing the birthday king crown.
"
s01e14_scene003_0287_0305	"Leonard, Sheldon and Raj are going to push. Howard stepped outside to throw up. It's not a time-travel joke, it's a joke.
"
s01e13_scene004_0513_0533	"Raj, Leonard and Howard are going to play a game against Sheldon. Sheldon is Leonard's friend and Leonard's roommate, so he's not going to join them.
"
s01e07_scene002_0662_0682	"Penny's robe will be cleaned. Christy is in the shower. Penny's loofah mitt reaches places that Howard's doesn't reach.
"
s01e04_scene005_0473_0484	"Penny is buying the ingredients for very expensive urine. She will also buy some manganese and some other ingredients. Sheldon explains to Penny that the human body can only absorb so much urine.
"
s01e07_scene001_0303_0323	"Penny and Leonard are going to enter a couple of 'Halo' tournaments sometime. Penny and Leonard will just have a life. Penny is a sore loser.
"
s01e09_scene001_0326_0346	"Leonard designed the experiment that proved the hypothesis and he's going to the conference to present it. Sheldon doesn't want to give his word and wants the scientific community to believe him.
"
s01e03_scene006_0768_0788	"Leonard and Penny are going to have lunch at Quizno's for lunch. They will have a varied menu. Sheldon sometimes finds it filling and other times he doesn't.
"
s01e13_scene005_0717_0737	"Leslie and Sheldon are playing S.S. Sinking Ship. Sheldon will introduce the third-floor janitor, the lady from the lunch room and either her son or her butcher to his team.
"
s01e13_scene003_0433_0453	"Leonard was at a coffee klatch with a couple of friends and didn't meet the team. Sheldon is on the team, but he wasn't there. The winner of the Physics Bowl is the team that has the most fun.
"
s01e12_scene003_0442_0459	"Leonard understands Sheldon's career crisis. Sheldon is going to share the credit with Leonard, but Leonard doesn't want to share credit with Sheldon. Sheldon will go.
"
s01e13_scene006_1194_1214	"Penny and Sheldon are talking about Romulan singer who sang 'Oops!... I Did It Again' and the singer who did it again.
"
s01e08_scene000_0230_0250	"Raj is going to find new friends and rent Fiddler. Sheldon has a special edition of Fiddler in the special edition. It's catchy and has catchy tunes.
"
s01e05_scene004_0705_0725	"Sheldon's board has been touched. Leonard has sent a message to Sheldon about it. Sheldon is very upset about it, he is looking for Leonard.
"
s01e09_scene002_0431_0451	"Kandor was the capital city of the planet Krypton. It was miniaturized by Brainiac before Krypton exploded and rescued by Superman. Leonard will put on a shirt and sport coat.
"
s01e16_scene010_1112_1113	Hey, Penny, when's your birthday?
s01e03_scene007_0977_0997	"Leonard had a colonoscopy and hasn't quite bounced back. She will still be expecting him. Sheldon will tell her that he had a routine colonoscopies.
"
s01e13_scene004_0593_0613	"Leonard has a question for Leslie, but he has to ask her in private. He sent a message to Howard and Leslie about it. Leslie will answer it.
"
s01e16_scene007_0803_0823	"Howard needs a band-aid to pretend he had epinephrine, but the hospital is not equipped to treat stupid people like him. The nurse will keep him under observation for an hour in the ER.
"
s01e15_scene006_0933_0935	...have them fertilized and implanted in you. That way, everybody wins.
s01e11_scene007_0849_0869	"Leonard is at home. He will be back before the gorillas whip the crap out of Charlton Heston. Howard doesn't want Leonard to come back.
"
s01e15_scene008_1149_1167	We had a dog who made a noise like that. Had to put him down.
s01e11_scene002_0288_0308	"Leonard is sick. Sheldon is wrapped in a duvet, but he is coughing and feeling sick. He is sending a message to Leonard via email.
"
s01e07_scene001_0343_0363	"Penny has carpal tunnel syndrome. She has a problem because Howard and Christy are having sex in her bedroom. She grew up on a farm, so she's not sure if it's a good idea.
"
s01e06_scene003_0935_0955	"Kurt, Sheldon and Penny are at Leonard's party. Leonard is having a good time, but it's getting late, so he can't join them.
"
s01e13_scene001_0161_0181	"Raj, Howard, Leonard and Leonard are going to play in the Physics Bowl. They need a team name. Howard suggests the Perpetual Motion Squad, which is beyond the laws of physics.
"
s01e02_scene000_0122_0142	"Leonard wants Penny to join him and Sheldon for Thai food and a Superman movie marathon. Penny likes the one where Lois Lane falls from the helicopter and Superman catches her.
"
s01e04_scene009_0954_0974	"Mrs Cooper and Leonard are trying to convince Sheldon to let him come to him. Sheldon is a physicist and should be doing research at the university doing research.
"
s01e09_scene006_0876_0896	"Leonard was walking through the park and saw children on a merry-go-round. Sheldon skipped over the part where he was thinking about the moment of inertia.
"
s01e10_scene000_0042_0062	"Penny wants to go out tonight, but Leonard and Sheldon don't know what ""Out Tonight"" is. They would hate it if cats could sing.
"
s01e14_scene000_0002_0022	"Sheldon's sandwich is an unmitigated disaster. He asked for turkey and roast beef with lettuce and Swiss on whole wheat. It's the right ingredients but in the wrong order. It was given to him.
"
s01e14_scene007_0830_0850	"Leonard wants to sell his share of the time machine for personal reasons. Raj will give him $100 and they will put it on his balcony. Howard will pay him 120 and put it in his garage.
"
s01e05_scene006_1059_1071	"A little bird told Raj and Leonard that Leonard is a magnificent beast. Leonard is not sure about that part, but it's true. The bird was a bird.
"
s01e12_scene009_0897_0917	"Howard won't look at anybody in the gifted program. If she agrees to go out with him, he will spend years doing her homework. He has allergies.
"
s01e09_scene000_0002_0022	"Leonard and Howard are online. Howard is about to send a signal from the laptop through their local ISP to San Francisco. The signal will be sent to a satellite in geosynchronous orbit to Lisbon, Portugal, where it will be handed off to transatlantic cables.
"
s01e14_scene003_0267_0287	"Leonard will drop Penny off at work yesterday. Penny will go up to the roof and hop over to the next building. She will use their stairwell.
"
s01e08_scene002_0495_0515	"Leonard will order a Grasshopper. Sheldon will have a virgin Cuba Libre. Penny will get a Diet Coke. She needs to practice mixing drinks.
"
s01e05_scene001_0234_0254	"Penny didn't know that Leslie had asked Leonard out. Leslie had turned him down. Penny might be offering consolation for Leslie's rejection. Sheldon and Leonard think Penny is adorable.
"
s01e09_scene001_0226_0246	"Leonard and Sheldon are going to present their paper on the properties of supersolids at the Topical Conference on Bose-Einstein Condensates at the Institute for Experimental Physics.
"
s01e09_scene000_0122_0142	"Penny, Sheldon, Howard, Leonard and All together are sending a message about the remote-control cars. The monster truck is out of Austin, Texas, the blue Viper is from suburban Tel Aviv.
"
s01e06_scene003_0595_0615	"Leonard and Sheldon are watching a group of people. They are discussing their interactions. Sheldon finds some patterns in the group's interactions. The newcomer approaches the existing group with the greeting, 'How wasted am I?' which is met with an approving chorus of 'Dude'.
"
s01e09_scene003_0691_0703	"Leonard and Sheldon will not speak to each other again, because Sheldon doesn't want to talk to Leonard again. Penny has heard it from Sheldon.
"
s01e14_scene002_0173_0193	"Sheldon, Howard, Leonard and Raj are going to buy cocktail shrimp for $800. They will take the dish off and put it in the elevator. The elevator is broken.
"
s01e09_scene001_0186_0206	"Sheldon and Raj don't want to be disembodied brains in jars in the future. Raj wants his brain in an android body. Howard wants to make sure he would still be Jewish.
"
s01e09_scene006_0916_0936	"Leonard and Sheldon are arguing. Sheldon came to the meeting because he knew Leonard would screw it up. Leonard has had enough of Sheldon's condescension and tells him off.
"
s01e02_scene010_1228_1236	"Howard and Raj will get the oxyacetylene torch. They will meet with Leonard and Penny in an hour to work on the place. Penny is satisfied with how it looks.
"
s01e06_scene003_0695_0715	"Penny's ex-boyfriend is disrupting the local gravity field. Sheldon and Leonard are leaving now, because they don't want to see him again.
"
s01e10_scene004_0450_0470	"Sheldon and Penny are going to participate in Penny's cousin Leopold's drug intervention on Friday night. The details are important to Sheldon and Leonard.
"
s01e08_scene000_0250_0253	Well, maybe we are like Haroon and Tanvir.
s01e10_scene004_0470_0490	"Sheldon has a cousin Leopold, but he made him up. Leonard doesn't understand why he should tell her a different lie. Sheldon's lie is more transparent than Leonard's.
"
s01e12_scene005_0577_0590	"Raj doesn't want Sheldon to come to his place. Sheldon is curious and keeps asking questions. Raj doesn't like it. He doesn't accept it.
"
s01e10_scene007_0956_0976	"Penny and Sheldon had an intervention, but they weren't able to convince him to go to rehab. They convinced him to leave the motel and come say hello to Penny.
"
s01e04_scene004_0385_0405	"Sheldon and Penny are traveling forward at 51 miles an hour and weigh 4400 pounds. By the time they come to a stop, they will be occupying the same space as that Buick.
"
